Short_Annotation	Category	Class	Sub_class
AEA	Fatty Acyls	Fatty amides	N-acylethanolamines
FA	Fatty Acyls	Fatty acids	Fatty acids and conjugates
PFAA	Fatty Acyls	Fatty acids	Polyunsaturated fatty acids and derivatives
AcCa	Fatty Acyls	Fatty esters	Acylcarnitines
OAHFA	Fatty Acyls	Fatty esters	O-acyl-ω-hydroxy fatty acids
WE	Fatty Acyls	Fatty esters	Wax esters
DGDG	Glyceroglycolipids	Glycosyldiacylglycerols	Digalactosyldiacylglycerols
MGDG	Glyceroglycolipids	Glycosyldiacylglycerols	Monogalactosyldiacylglycerols
DGMG	Glyceroglycolipids	Glycosylmonoacylglycerols	Digalactosylmonoacylglycerols
MGMG	Glyceroglycolipids	Glycosylmonoacylglycerols	Monogalactosylmonoacylglycerols
d5-DG	Glycerolipids	Glycerol diesters	Deuterated diacylglycerols (internal standard)
DG	Glycerolipids	Glycerol diesters	Diacylglycerols
MG	Glycerolipids	Glycerol monoesters	Monoacylglycerols
TG	Glycerolipids	Glycerol triesters	Triacylglycerols
d5-TG	Glycerolipids	Glycerol triesters	Triacylglycerols (deuterated)
AcHexSiE	Glycerolipids	Sterol glycosides	Acylhexosyl sterol esters
SQDG	Glycerolipids	Sulfoquinovosyl lipids	Sulfoquinovosyldiacylglycerols
SQMG	Glycerolipids	Sulfoquinovosyl lipids	Sulfoquinovosylmonoacylglycerols
cPA	Glycerophospholipids	Glycerophosphates	Cyclic phosphatidic acids
PA	Glycerophospholipids	Glycerophosphates	Diacylglycerophosphates
DAP	Glycerophospholipids	Glycerophosphates	Diacylglycerophosphatidic acids
BisMeLPA	Glycerophospholipids	Glycerophosphates	Dimethyllysophosphatidic acids
BisMePA	Glycerophospholipids	Glycerophosphates	Dimethylphosphatidic acids
LPA	Glycerophospholipids	Glycerophosphates	Monoacylglycerophosphates
PC	Glycerophospholipids	Glycerophosphocholines	Diacylglycerophosphocholines
LPC	Glycerophospholipids	Glycerophosphocholines	Monoacylglycerophosphocholines
BiotinylPE	Glycerophospholipids	Glycerophosphoethanolamines	Biotinylated phosphatidylethanolamines
PE	Glycerophospholipids	Glycerophosphoethanolamines	Diacylglycerophosphoethanolamines
LPE	Glycerophospholipids	Glycerophosphoethanolamines	Monoacylglycerophosphoethanolamines
PEt	Glycerophospholipids	Glycerophosphoethanolols	Diacylglycerophosphoethanolols
LPEt	Glycerophospholipids	Glycerophosphoethanolols	Monoacylglycerophosphoethanolols
PG	Glycerophospholipids	Glycerophosphoglycerols	Diacylglycerophosphoglycerols
LPG	Glycerophospholipids	Glycerophosphoglycerols	Monoacylglycerophosphoglycerols
LBPA	Glycerophospholipids	Glycerophosphoglycerophosphates	Lysobisphosphatidic acids
CL	Glycerophospholipids	Glycerophosphoglycerophosphoglycerols	Cardiolipins
PIP	Glycerophospholipids	Glycerophosphoinositol phosphates	Diacylglycerophosphoinositol phosphates
PIP3	Glycerophospholipids	Glycerophosphoinositol phosphates	Diacylglycerophosphoinositol trisphosphates
LPIP	Glycerophospholipids	Glycerophosphoinositol phosphates	Monoacylglycerophosphoinositol phosphates
LPIP3	Glycerophospholipids	Glycerophosphoinositol phosphates	Monoacylglycerophosphoinositol trisphosphates
PI	Glycerophospholipids	Glycerophosphoinositols	Diacylglycerophosphoinositols
LPI	Glycerophospholipids	Glycerophosphoinositols	Monoacylglycerophosphoinositols
LPMt	Glycerophospholipids	Glycerophosphomonothanolamines	Monoacylglycerophosphomonothanolamines
PS	Glycerophospholipids	Glycerophosphoserines	Diacylglycerophosphoserines
BisMePS	Glycerophospholipids	Glycerophosphoserines	Dimethylphosphatidylserines
LPS	Glycerophospholipids	Glycerophosphoserines	Monoacylglycerophosphoserines
MePC	Glycerophospholipids	Phosphatidylcholines	Methyl-PC lipid standards
GD1a	Glycosphingolipids	Gangliosides	Disialotetrahexosylceramide gangliosides
GM3	Glycosphingolipids	Gangliosides	Monosialodihexosylgangliosides
GT3	Glycosphingolipids	Gangliosides	Trisialotetrahexosylceramide gangliosides
Hex2Cer	Glycosphingolipids	Neutral glycosphingolipids	Dihexosylceramides
Hex1Cer	Glycosphingolipids	Neutral glycosphingolipids	Monohexosylceramides
